date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:10	389/389	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Aug%202012%2008:25:25%20GMT	http://scripts.sil.org/xetex	d:/myweb/Wiki/xetex.17.delayed	(from )
15:24:11	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Aug%202012%2008:25:26%20GMT	http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=xetex	d:/myweb/Wiki/page.184bd2.delayed	(from )
15:24:13	3113/3113	---M--	200	added ('OK')	image/png	etag:%221a00000001ff4c-c29-4baab4ef84e37%22	http://cs.payap.ac.th/bob/images/xelatex.png	d:/myweb/Wiki/xelatex.png	(from )
15:24:13	90752/90752	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:25:26%20GMT	http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=xetex&_sc=1	d:/myweb/Wiki/page01a3.html	(from )
15:24:14	7649/7649	---M--	200	added ('OK')	image/png	etag:%221200000001e8a4-1de1-4baab36552e31%22	http://cs.payap.ac.th/bob/images/blender.png	d:/myweb/Wiki/blender.png	(from )
15:24:16	17372/17372	---M--	200	added ('OK')	image/png	etag:%221000000001e8a1-43dc-4baab364e0723%22	http://cs.payap.ac.th/bob/images/audacity.png	d:/myweb/Wiki/audacity.png	(from )
15:24:21	41862/41862	---M--	200	added ('OK')	image/png	etag:%226c000000002bfd-a386-4bafb800d18ea%22	http://cs.payap.ac.th/bob/images/emacs.png	d:/myweb/Wiki/emacs.png	(from )
15:24:22	54399/54399	---M--	200	added ('OK')	image/png	etag:%221400000001e8aa-d47f-4baab3677fd53%22	http://cs.payap.ac.th/bob/images/eclipse.png	d:/myweb/Wiki/eclipse.png	(from )
15:24:23	8796/8796	---M--	200	added ('OK')	image/png	etag:%223c00000001ff5e-225c-4bafadb25fd0b%22	http://cs.payap.ac.th/bob/images/inkscape.png	d:/myweb/Wiki/inkscape.png	(from )
15:24:23	43966/43966	---M--	200	added ('OK')	image/png	etag:%2249100000001e8b1-abbe-4baab3c921bab%22	http://cs.payap.ac.th/bob/images/gimp.png	d:/myweb/Wiki/gimp.png	(from )
15:24:27	9477/9477	---M--	200	added ('OK')	text/html	etag:%221178276-2505-50324bee;50324bf0%22	http://lilypond.org/	d:/myweb/Wiki/index-11.html	(from http://cs.payap.ac.th/bob/)
15:24:27	25200/25200	---M--	200	added ('OK')	image/png	etag:%221f00000001ff60-6270-4bafadb2ce710%22	http://cs.payap.ac.th/bob/images/jing.png	d:/myweb/Wiki/jing.png	(from )
15:24:27	18056/18056	---M--	200	added ('OK')	image/png	etag:%22c800000001ff63-4688-4bafadb340e1e%22	http://cs.payap.ac.th/bob/images/komposer.png	d:/myweb/Wiki/komposer.png	(from )
15:24:33	31958/31958	---M--	200	added ('OK')	image/png	etag:%22c00000001e937-7cd6-4baab4578e9b1%22	http://cs.payap.ac.th/bob/images/openCV.png	d:/myweb/Wiki/opencv.png	(from )
15:24:34	51948/51948	---M--	200	added ('OK')	image/png	etag:%223800000001e927-caec-4baab3cb527d6%22	http://cs.payap.ac.th/bob/images/lilypond.png	d:/myweb/Wiki/lilypond.png	(from )
15:24:35	887/887	---M--	200	added ('OK')	image/png	etag:%22b900000001e0bf-377-4bafaad606e38%22	http://cs.payap.ac.th/bob/images/cutePDF.png	d:/myweb/Wiki/cutepdf.png	(from )
15:24:35	8790/8790	---M--	200	added ('OK')	image/png	etag:%221100000001ff65-2256-4bafadb38d2d2%22	http://cs.payap.ac.th/bob/images/vlc.png	d:/myweb/Wiki/vlc.png	(from )
15:24:36	8053/8053	---M--	200	added ('OK')	image/png	etag:%22201000000002c37-1f75-4bafc0088d900%22	http://cs.payap.ac.th/bob/images/foxit.png	d:/myweb/Wiki/foxit.png	(from )
15:24:37	62402/62402	---M--	200	added ('OK')	image/png	etag:%2217000000001e938-f3c2-4baab459a87a6%22	http://cs.payap.ac.th/bob/images/openGL.png	d:/myweb/Wiki/opengl.png	(from )
15:24:37	5374/5374	---M--	200	added ('OK')	image/png	etag:%223b00000001e89d-14fe-4babf79200d0d%22	http://cs.payap.ac.th/bob/images/openproj.png	d:/myweb/Wiki/openproj.png	(from )
15:24:37	11860/11860	---M--	200	added ('OK')	image/png	etag:%22d500000001ff46-2e54-4bafadb1f1306%22	http://cs.payap.ac.th/bob/images/git.png	d:/myweb/Wiki/git.png	(from )
15:24:38	2286/2286	---M--	200	added ('OK')	image/png	etag:%2213f000000002e7c-8ee-4babf59bf4091%22	http://cs.payap.ac.th/bob/images/ideone.png	d:/myweb/Wiki/ideone.png	(from )
15:24:38	8738/8738	---M--	200	added ('OK')	image/png	etag:%223600000001e92f-2222-4baab456f6049%22	http://cs.payap.ac.th/bob/images/ooo-logo.png	d:/myweb/Wiki/ooo-logo.png	(from )
15:24:39	1748/1748	---M--	200	added ('OK')	image/png	etag:%225500000001e89a-6d4-4baab36285b95%22	http://cs.payap.ac.th/bob/images/android.png	d:/myweb/Wiki/android.png	(from )
15:24:40	27444/27444	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Aug%202012%2008:25:54%20GMT	http://www.ideone.com/	d:/myweb/Wiki/index-12.html	(from http://cs.payap.ac.th/bob/)
15:24:41	7854/7854	---M--	200	added ('OK')	image/png	etag:%224200000001ff64-1eae-4bafadb367078%22	http://cs.payap.ac.th/bob/images/msys.png	d:/myweb/Wiki/msys.png	(from )
15:24:44	24884/24884	---M--	200	added ('OK')	image/png	etag:%221800000001e89f-6134-4baab362f82a3%22	http://cs.payap.ac.th/bob/images/apple.png	d:/myweb/Wiki/apple.png	(from )
15:24:44	48974/48974	---M--	200	added ('OK')	image/png	etag:%223400000001ff95-bf4e-4babee95e3c67%22	http://cs.payap.ac.th/bob/images/sdl.png	d:/myweb/Wiki/sdl.png	(from )
15:24:50	52901/52901	---M--	200	added ('OK')	image/png	etag:%223f00000001ff43-cea5-4baab4ed359c4%22	http://cs.payap.ac.th/bob/images/ubuntu.png	d:/myweb/Wiki/ubuntu.png	(from )
15:24:54	58343/58343	---M--	200	added ('OK')	image/png	etag:%224800000001ff4a-e3e7-4baab4eed93a2%22	http://cs.payap.ac.th/bob/images/windows.png	d:/myweb/Wiki/windows.png	(from )
15:24:57	15197/15197	---M--	200	added ('OK')	image/png	etag:%221e00000001ff5c-3b5d-4bafadb239ab1%22	http://cs.payap.ac.th/bob/images/googleapis.png	d:/myweb/Wiki/googleapis.png	(from )
15:24:58	9452/9452	---M--	200	added ('OK')	image/png	etag:%221300000001e8b2-24ec-4babf2f453820%22	http://cs.payap.ac.th/bob/images/facebook.png	d:/myweb/Wiki/facebook.png	(from )
15:25:04	87929/87929	---M--	200	added ('OK')	image/png	etag:%22a00000001ff98-15779-4babf29adc10c%22	http://cs.payap.ac.th/bob/images/googledocs.png	d:/myweb/Wiki/googledocs.png	(from )
15:25:05	39309/39309	---M--	200	added ('OK')	image/png	etag:%223000000001ff4b-998d-4baab4ef84e37%22	http://cs.payap.ac.th/bob/images/xampp.png	d:/myweb/Wiki/xampp.png	(from )
15:25:05	7399/7399	---M--	200	added ('OK')	image/png	etag:%2249a00000001e8b3-1ce7-4baab3c9d8d5b%22	http://cs.payap.ac.th/bob/images/heroku.png	d:/myweb/Wiki/heroku.png	(from )
15:25:08	151681/151681	---M--	200	added ('OK')	image/png	etag:%22a00000001ff42-25081-4baab4ec3da7b%22	http://cs.payap.ac.th/bob/images/virtualbox.png	d:/myweb/Wiki/virtualbox.png	(from )
15:25:09	6487/6487	---M--	200	added ('OK')	image/png	etag:%223200000001ff8b-1957-4bab91690516c%22	http://cs.payap.ac.th/bob/images/wireshark.png	d:/myweb/Wiki/wireshark.png	(from )
15:25:10	9218/9218	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:28:53%20GMT	http://cs.payap.ac.th/bob/wiki/pmwiki.php?n=Main.ComputerResources	d:/myweb/Wiki/pmwiki8150.html	(from )
15:25:11	37649/37649	---M--	200	added ('OK')	image/png	etag:%221400000001ff99-9311-4babf33ae5ea0%22	http://cs.payap.ac.th/bob/images/skype.png	d:/myweb/Wiki/skype.png	(from )
15:25:13	50890/50890	---M--	200	added ('OK')	image/png	etag:%221900000001e959-c6ca-4baab45b98638%22	http://cs.payap.ac.th/bob/images/putty.png	d:/myweb/Wiki/putty.png	(from )
15:25:13	47995/47995	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202012%2008:45:45%20GMT	http://th.linkedin.com/pub/robert-batzinger/a/7b1/319	d:/myweb/Wiki/319.html	(from )
15:25:14	924/924	---M--	200	added ('OK')	image/png	etag:%22-2048299370%22	http://www.linkedin.com/img/webpromo/btn_viewmy_120x33.png	d:/myweb/Wiki/btn_viewmy_120x33.png	(from )
15:25:19	97725/97725	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:26:29%20GMT	http://www.flickr.com/photos/rbatz	d:/myweb/Wiki/rbatz.html	(from )
15:25:19	9099/9099	---M--	200	added ('OK')	image/png	etag:%2213100000001dfd7-238b-4bfddd33c99d7%22	http://cs.payap.ac.th/bob/flickrsquare.png	d:/myweb/Wiki/flickrsquare.png	(from )
15:25:22	74055/74055	---M--	200	added ('OK')	text/html	etag:%22da46448edf20db0e1b9e811ea3669ab9%22	https://twitter.com/rbatz	d:/myweb/Wiki/rbatz-2.html	(from )
15:25:23	71989/71989	---M--	200	added ('OK')	image/gif	etag:%221a00000001ff54-11935-4baab97100ca0%22	http://cs.payap.ac.th/bob/images/bc.gif	d:/myweb/Wiki/bc.gif	(from )
15:25:23	9768/9768	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:29:06%20GMT	http://cs.payap.ac.th/bob/wiki/pmwiki.php?n=BobBatzinger.HomePage	d:/myweb/Wiki/pmwiki0762.html	(from )
15:25:25	46521/46521	---M--	200	added ('OK')	application/javascript	etag:%221d64f0a6ed560aa8a291464459471a78%22	http://platform.twitter.com/widgets.js	d:/myweb/Wiki/widgets.js	(from )
15:25:25	553627/553627	---M--	200	added ('OK')	image/png	etag:%22b00000001ff3c-8729b-4baab46652f88%22	http://cs.payap.ac.th/bob/images/r_project.png	d:/myweb/Wiki/r_project.png	(from )
15:25:26	1125/1125	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Aug%202012%2008:29:09%20GMT	http://cs.payap.ac.th/bob/js/scripts.js	d:/myweb/Wiki/scripts.48.delayed	(from )
15:25:28	642/642	---M--	200	added ('OK')	text/plain	etag:%2212a18ea-5f1-4bf10493da000%22	http://www.mingw.org/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:28	562/562	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Aug%202012%2008:26:43%20GMT	http://www.oracle.com/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:29	241/241	---M--	403	error ('Forbidden')	text/html	date:Tue,%2021%20Aug%202012%2008:26:44%20GMT	http://www.python.org/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:30	99/99	---M--	200	added ('OK')	text/plain	etag:%22200e541e-63-89b0f40%22	http://www.ruby-lang.org/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:31	57556/57556	---M--	200	added ('OK')	application/javascript	etag:%221700000001ff4f-e0d4-4baab7ac7fe09%22	http://cs.payap.ac.th/bob/js/hyphenator.js	d:/myweb/Wiki/hyphenator.js	(from )
15:25:31	283/283	---M--	200	added ('OK')	text/plain	etag:%2237ee187-11b-4f1db543%22	http://www.php.net/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:32	102/102	---M--	200	added ('OK')	text/plain	etag:%22833cf95-95-489563dbf90c0%22	http://www.processing.org/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:32	60293/60293	---M--	200	added ('OK')	application/javascript	etag:%22500000001ff51-eb85-4baab7ada1cb5%22	http://cs.payap.ac.th/bob/js/raphael-min.js	d:/myweb/Wiki/raphael-min.js	(from )
15:25:33	91626/91626	---M--	200	added ('OK')	application/javascript	etag:%221380000000066e0-165ea-4bcb2e187f9dd%22	http://cs.payap.ac.th/bob/js/jquery-1.js	d:/myweb/Wiki/jquery-1.js	(from )
15:25:33	36/36	---M--	200	added ('OK')	text/plain	etag:%22150c04-24-41f25e9f15180%22	http://scripts.sil.org/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:34	183/183	---M--	200	added ('OK')	text/plain	etag:%22dec096-1ee-4bc58888%22	http://lilypond.org/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:35	15/15	---M--	200	added ('OK')	text/plain	etag:%22147e60b-f-48a2966830f40%22	http://www.ideone.com/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:36	26020/26020	---M--	200	added ('OK')	text/plain	etag:%22-645770613%22	http://th.linkedin.com/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:36	144/144	---MC-	200	added ('OK')	text/plain	date:Tue,%2021%20Aug%202012%2008:26:51%20GMT	http://www.flickr.com/robots.txt		(from http://cs.payap.ac.th/bob/)
15:25:37	264/264	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Aug%202012%2008:26:52%20UTC	https://twitter.com/robots.txt		(from http://cs.payap.ac.th/bob/)
